record_id,duplicate_id,author,year,journal,doi,title,pages,volume,number,abstract,isbn,label,source,record_ids,asreview_prior,exported_notes_1,included,asreview_ranking
370,1381,"Marchevsky, Harber, Crawford, Wick",2006,Annals of diagnostic pathology,10.1016/j.anndiagpath.2006.06.012,Mesothelioma in patients with nonoccupational asbestos exposure. An evidence-based approach to causation assessment.,241-50,10,4,"The specific parameters of nonoccupational asbestos exposures (NOAE) that can distinguish an idiopathic from an asbestos-caused malignant mesothelioma (MM) are controversial. A systematic literature review yielded 1028 cases with this putative association. Only 287 of those reports had a defined single exposure to a household, building occupant, or neighborhood/community asbestos source. The available ""evidence"" was used to develop semiarbitrary evidence-based causation guideline rules for the assessment of putative associations between MM and NOAE. The rules are classified into class A (tissue burden analysis shows asbestos body counts or fiber counts in lung tissues comparable to MM caused by occupational exposure to asbestos) and classes B to D based on whether certain combinations of NOAE features and MM (evidence) have been described in over 15% (class B), 5% to 15% (class C), and less than 5% (class D) of the patients reviewed. The proposed 4 classes of evidence-based causation guidelines provide a semiarbitrary framework to evaluate the causation of individual MM patients by NOAE based on decreasing levels of currently available evidence. The neoplasms in classes A to C patients are probably caused by NOAE, with decreasing weight of evidence in the 3 groups. There is minimal evidence to support the causation of MM by NOAE in class D patients. There is no evidence or only anecdotal evidence to support a causal association between MM and NOAE in individuals who cannot be classified into any of the 4 classes. Future studies are needed to provide more comprehensive data regarding the association between MM and NOAE.",1092-9134,-1,"pubmed, embase","1381, 1161",,,,62
74,1706,"W. Ismail, D. Luce, C. Paris, E. Counil",2020,ISEE Conference Abstracts,10.1289/isee.2020.virtual.p-0136,Work-related lung cancer concentrate among lower status workers: a quantification approach,-,2020,1,"Background/Aim: Although the concentration of carcinogenic exposures within specific socio-occupational groups is widely acknowledged, most burden of disease (BOD) approaches focus on the general population, missing the dimension of occupational health inequities. This raises social justice issues as those quantification tools are increasingly used for discussing cancer prevention priorities and occupational disease compensation rules. Our general aim was to explore ways by which population health metrics could integrate occupational inequities, and to identify eventual data gaps. Our specific aim was to compare the burden of work-related lung cancer between different socio-economic groups taking into account three known occupational carcinogens (asbestos, silica and DME) and smoking. Methods: We conducted a secondary analysis of the population-based case-control study ICARE (Investigation sur les Cancers Respiratoires et l'Environnement). The study included 2926 lung cancer cases and 3555 frequency-matched controls covering 13% of the French population. Lifelong occupational exposures were assessed by job-exposure matrices and self-report. We compared sources of variation in the attributable fractions (AF) estimates, including interaction with socio-economic position (SEP) and SEP indicator (education or occupation-based), using STATA. Results: The analysis was based on men-only due to the limited number of exposures among women. The AF for the combined indicator of asbestos, silica and DME exposures was 29.4% (95%CI [23.9-34.4]) overall, while the AF for exposed blue-collar workers compared to non-exposed groups regardless of SEP was 26.9% (95%CI [21.9- 31.7]). AFs were slightly higher when capturing SEP through education. Our results provide quantified evidence that the burden of work-related lung cancer attributable to these 3 known carcinogens concentrates massively (over 90%) among manual workers. Conclusion: They exemplify the need for integrating indicators of occupation and industry sector into BOD estimates to inform decision-making in cancer prevention and compensation. More broadly, they plead for information systems linking SEP, environmental and occupational health.",1078-0475 2169-2181,-1,openalex,1706,,,,63
256,1430,Goldsmith,1996,"Occupational medicine (Philadelphia, Pa.)",,Importance of causation for interpreting occupational epidemiology research: a case study of quartz and cancer.,433-49,11,3,"One of the most important roles for occupational epidemiology is to provide a scientific basis for assessing causation. This chapter discusses the criteria for causation considered by the U.S. Surgeon General, the International Agency for Research on Cancer, and others to place the evidence in historical context. As a case study, the criteria for judging the evidence for potential carcinogenicity of silica dust are examined. The importance of communication with workers and management about causal concerns from workplace exposures is also discussed.",0885-114X,manual_review,"pubmed, embase","1430, 1223",,,,64
83,1021,"Fan, Y. and Jiang, Y. and Li, X. and Li, X. and Li, Y. and Wu, H. and Pan, H. and Wang, Y. and Meng, Z. and Zhou, Q. and Qiao, Y.",2022,Cancers,10.3390/cancers14163883,Burden of Lung Cancer Attributable to Occupational Carcinogens from 1990 to 2019 and Projections until 2044 in China,,14,16,"Background: Little is known about trends in the lung cancer burden from the disease that can be attributed to occupational carcinogens in China. Methods: Data regarding the lung cancer burden that can be attributed to occupational carcinogens in China were extracted from the Global Burden of Disease (GBD) study in 2019. Joinpoint regression analysis and an age-period-cohort (APC) analysis were conducted to estimate the trend of lung cancer burden as a result of occupational carcinogens from 1990 to 2019. A Bayesian APC model was used to predict the disease burden until 2044. Results: The average annual percentage changes of age-standardized summary exposure values (SEVs) of occupational lung carcinogens, as well as the age-standardized population attributable fraction (PAF) of lung cancer due to occupational carcinogens, were 0.5% (95% confidence interval (CI): 0.4–0.5%) and 0.1% (95% CI: 0–0.2%), respectively. In addition, both the joinpoint regression analysis and APC analysis demonstrated significantly increased trends of age-standardized lung cancer mortality (ASMR) and age-standardized disability-adjusted life years (ASDR) as a result of occupational carcinogens. Asbestos and silica accounted for the two most important occupational lung carcinogens in China. The absolute burden is expected to increase, mainly due to population aging and the age-specific rate of illness. Conclusions: The lung cancer burden that could be attributed to occupational carcinogens significantly increased from 1990 to 2019 in China, and the absolute burden will continue to increase in the next 25 years.",2072-6694,-1,embase,1021,,,,65
45,1312,"Marinaccio, Corfiati, Binazzi, Di Marzio, Bonafede, Verardo, Migliore, Gennaro, Mensi, Schallemberg, Mazzoleni, Fedeli, Negro, Romanelli, Chellini, Grappasonni, Pascucci, Madeo, Romeo, Trafficante, Carrozza, Angelillo, Cavone, Cauzillo, Tallarigo, Tumino, Melis",2020,Epidemiologia e prevenzione,10.19191/EP20.1.P023.014,"The epidemiological surveillance of malignant mesothelioma in Italy (1993-2015): methods, findings, and research perspectives.",23-30,44,1,"as a legacy of the large asbestos consumption until the definitive ban in 1992, Italy had to tackle a real epidemic of asbestos related diseases. The Italian National Registry of Malignant Mesotheliomas (ReNaM) is a permanent surveillance system of mesothelioma incidence, with a regional structure. Aims, assignments and territorial network of ReNaM are described, as well as data collection, recording and coding procedures. to describe the Italian epidemiological surveillance system of mesothelioma incidence, to provide updated data about occurrence of malignant mesothelioma in Italy, and to discuss goals, attainments, and expectations of registering occupational cancer. analysis of data by malignant mesothelioma incident cases surveillance system. Italy, network of regional surveillance system, all Italian regions. a Regional Operating Centre (COR) is currently established in all the Italian regions, actively searching incident malignant mesothelioma cases from health care institutions. Occupational history, lifestyle habits, and residential history are obtained using a standardized questionnaire, administered to the subject or to the next of kin by a trained interviewer. The extent of dataset, epidemiological parameters, and occupations involved are reported updated at 31.12.2016, and standardized incidence rates are calculated. at December 2016, ReNaM has collected 27,356 malignant mesothelioma cases, referring to the period of incidence between 1993 and 2015. The modalities of exposure to asbestos have been investigated for 21,387 (78%) and an occupational exposure has been defined for around 70% of defined cases (14,818). the Italian experience shows that epidemiological systematic surveillance of asbestos related diseases incidence has a key importance for assessing and monitoring the public health impact of occupational and/or environmental hazards, programming preventive interventions, including remediation plans and information campaigns, and supporting the efficiency of insurance and welfare system. Monitoring the incidence of malignant mesothelioma through a specialized cancer registry is essential to follow-up the health effects of changing modalities and extent of occupational exposures over years and of environmental contamination. Such consolidated surveillance system is recommended also for occupational cancers with low aetiological fraction.",1120-9763,-1,pubmed,1312,,,,66
354,1490,"Ehrenreich, Espinosa, Langer, Rohl, Daum",1982,The American journal of forensic medicine and pathology,10.1097/00000433-198212000-00007,Asbestos-related diseases. Algorithm for forensic pathological diagnosis.,315-21,3,4,"The pathological diagnosis and proof of asbestos causation in environmental-occupational diseases is based on a spectrum of increasingly sophisticated determinations with greater confidence in detection of asbestos bodies and fibers. These include the following: pathology (histology) and/or thick smears of lung, microincineration, bulk chemical digestion, and electron beam instruments. The requisites of medical and forensic asbestos causation differ, and do not always require the full range of these analytical techniques. The need and significance of some of these determinations, as expressed in number of asbestos bodies and fibers, may be related in many cases to the evidence of asbestosis; to the gross and microscopic pathological findings (asbestosis, lung carcinoma, mesothelioma); the exposure history (type, duration, intensity, and period of latency); and nature of the asbestos mineral. An algorithm for the forensic pathological diagnosis of asbestosis and of asbestos-related diseases is proposed.",0195-7910,-1,"pubmed, embase","1490, 1277",,,,67
426,1767,"Counil E, Henry E, Isamail W, Paris C, Luce D",2019,Environmental Epidemiology,10.1097/01.ee9.0000606576.82739.4b,Linking the Assessment of the Burden of Work-Related Cancer to Health Inequities Research,82-82,3,Supplement 1,"TPS 791: Occupational health 1, Exhibition Hall, Ground floor, August 26, 2019, 3:00 PM - 4:30 PM Population attributable fractions (PAFs) are increasingly used for discussing cancer prevention priorities. Although conceptual and validity issues have been widely addressed in the epidemiological literature, there is a paucity of attention on the impact of PAFs in decision-making, and the lack of consideration of factors like work or the environment on population health inequalities. Our aims are, first, to gather published estimates of cancer attributed to causal agents in the workplace over the last decades (past); second, to analyze them from the perspective of their potential effects on population health inequalities research (present); and third, to explore ways by which population health metrics could take occupational inequities into account (future). PAFs of work-related cancer ranged from less than 2% to more than 8%, with an average of 4-5%. While most authors acknowledge that exposures concentrate in lower-socioeconomic status workers, occupational group has never been considered as a source of variation in the calculations. This knowledge gap is linked to the paucity of data describing the occupational patterning of exposures and cancer. More globally, the social gradient in cancer is often interpreted in the light of behavioral factors alone, a tendency linked by historians to the very foundations of modern epidemiology, and that may result in what science studies refer to ""undone science"". Yet, there is accumulated evidence that work affects health and death through different pathways, which are also relevant to cancer inequalities research and prevention. We hence propose to further the discipline's reflexivity by changing the focus, scope and metrics in order to assess the burden of work-related cancer in a way that is more meaningful to the most disadvantaged workers. We empirically illustrate some of these conceptual and methodological issues based on the secondary analysis of a large case-control study on lung cancer conducted in France.",2474-7882,-1,openalex,1767,,,,68
352,1421,"Merler, Vineis, Miligi",1998,Epidemiologia e prevenzione,,[Occupational cancer in Italy].,12-25,22,1,"The paper is a discussion of occupational cancer in Italy. The introductory section provides the necessary context of Italian industrialization and occupational health regulation. This is followed by a review of Italian epidemiological studies of occupational cancer risks, considered in terms of relative measures of risk and Attributable Risk to carcinogenic agents or exposure circumstances. A section attempts to establish the number of workers who have been exposed to carcinogens in Italy and the intensity of their exposures. Several cohort and case-control studies have addressed the issue of occupational risks, mostly among male workers. The results of these studies suggest that the growing incidence of and mortality by mesothelioma is explained by the widespread and intense exposure to asbestos in some Italian industrial settings. A high Attributable Risk of lung tumors among male populations in industrial areas of northern Italy is explained by occupational exposures. However, insufficient data are available for the clear definition of the extent and intensity of occupational exposure to carcinogenic substances. In Italy, we need to prioritize and maximize resources in occupational cancer epidemiology and to revitalize the role of national institutions. Recent legislation has established new regulations on the handling of carcinogenic substances in industrial settings, a new list of occupational diseases, and a national registry of mesothelioma linked to asbestos exposure. These legislative changes are expected to have positive effects.",1120-9763,-1,"pubmed, embase, openalex","1421, 1214, 1568",,,,69
180,1742,"Riitta Sauni, Jukka Takala, Päivi Hämäläinen, Clas-Håkan Nygård, Subas Neupane",2024,Occupational Medicine,10.1093/occmed/kqae023.0113,SS13-03 WORK-RELATED CANCER IN FINLAND,0-0,74,Supplement_1,"Introduction The aim of this study was to estimate the magnitude of the burden of work-related cancer in terms of fatalities in Finland during the year 2019. Additionally, it sought to compare these figures with the national statistics on occupational cancers 2005-2019. Materials and Methods Data on occupational illnesses and injuries were sourced from international organizations, institutions, and public websites. Population attributable fractions (PAF) for the various risk factor-outcome pairs were derived from literature. Reported and recognized occupational cancers registered during 2005-2019 were evaluated from the Finnish Register of Occupational Diseases (FROD). Results According to the latest estimates, there was a total of 1028 work-related cancer cases in Finland in 2019. They comprised 45% of all fatal cases of work-related diseases. In 2005-2019, a total of 2288 cancer cases were reported to the FROD. Of these, 1358 (59%, 153 cases/year on average) were recognized as occupational diseases. Lung cancer (44%) and mesothelioma (54%) were the most common cancer types. Altogether, 1328 recognized cases (98%) were related to asbestos exposure. Exposure to silica, wood dust, chromium, nickel and arsenic caused one to four cases each. Conclusions The compensation-based register (FROD) presents figures for work-related cancer that are approximately ten times smaller compared to estimates derived from scientific literature. The recognized cases are those that insurance companies have compensated as occupational diseases. However, the estimates provide a better national scope of the burden posed by work-related cancer. As the register-based data varies across different countries, the estimates offer a valuable avenue for international comparisons.",0962-7480 1471-8405,abstract_added,openalex,1742,,,,70
110,1741,Bernard W. Stewart,2009,When Cancer Crosses Disciplines,10.1142/9781848163652_0006,Involuntary Exposures — Can Knowledge Keep Pace with Perceptions?,131-159,,,"Cancer in humans may be caused by exposure to carcinogens which occurs against the will of the individuals affected. Such cancers can be distinguished from those caused by tobacco smoking, alcohol drinking and deliberate sun exposure, together with malignancies for which diet, obesity, exercise, reproductive history, sexual behaviour and the like are risk factors, all often described as cancers associated with lifestyle. Involuntary exposure to carcinogens is best characterised in the workplace. Most of the substances known to be carcinogenic for humans have been identified following epidemiological study of particular workers. Occupational cancer may be prevented by regulation, once carcinogens or hazardous environments have been recognised, despite unacceptable delays in the case of asbestos specifically. Wider pollution of the environment is generally attributable to industrial practice, though arsenic contamination of water supplies in some locations also occurs naturally. Atmospheric pollution causes lung cancer, with worst exposures now involving developing countries. Local pollution by asbestos, polycyclic aromatic hydrocarbons, or heavy metals may cause cancer amongst residents, but clear proof of causation in relation to pesticides, solvents and industrial waste in such situations is difficult. Media attention to cancer allegedly associated with a variety of consumer products (apart from tobacco and alcohol) raises anxiety and expectations. Specific actions have been taken in some circumstances, but expectations regarding absolute safety can never be met. Cancer clusters are also extensively reported. Corresponding investigations serve to address neighbourhood concerns, but have not revealed modes of cancer causation which would have otherwise remained unknown. Overall, involuntary exposures account for a small proportion of cancer cases, but such cancers are preventable and the community demands no less.",,abstract_added,openalex,1741,,,,71
293,1003,"Liew, J. and Tan, K.L. and Gan, E.M.",2024,Chest,10.1016/j.chest.2024.06.2970,A CASE REPORT OF ASBESTOS-RELATED OCCUPATIONAL LUNG CANCER,A5005,166,4,"SESSION TITLE: Occupational and Enironmental Exposures SESSION TYPE: Rapid Fire Case Reports PRESENTED ON: 10/07/2024 12:30 pm - 01:15 pm INTRODUCTION: Occupational lung cancer is underreported. Asbestos is the most significant carcinogen for occupational lung cancer. Establishing the diagnosis of asbestos-related occupational lung cancer (ARLC) maybe challenging in the presence of tobacco smoking. We report a case of ARLC, review the literature and highlight the clinical guidelines and consensus opinion on the attribution of lung cancer to asbestos exposure. CASE PRESENTATION: A 77 year-old Asian male, a previous smoker of 15 pack-years who quit smoking 20 years ago, was initially referred for bilateral reticular opacities detected on his chest radiograph during health screening. He reported mild shortness of breath on exertion. He had significant workplace exposure to asbestos 50 years ago whilst removing the insulation fibres from the ship boiler. High resolution CT scan showed bilateral subpleural honeycombing and reticular interstitial thickening and multiple calcified pleural plaques. Pulmonary function testing showed restrictive spirometry with reduced lung volumes and reduced diffusion capacity for carbon monoxide. He was diagnosed to have asbestosis based on his exposure to asbestos and the clinico-radiologic findings. On follow-up 4 years following his diagnosis of asbestosis, an enlarging rounded right lower zone lesion was noted on his chest radiograph. CT chest revealed a new lobulated mass in the middle lobe. He underwent CT guided biopsy of the lesion which confirmed small cell lung carcinoma. He was diagnosed to have ARLC based on the Helsinki criteria. DISCUSSION: Despite its ban in several countries, asbestos is still widely used in some developing countries. Exposure to asbestos occurs in asbestos repair and removal work. In a patient with lung cancer, the diagnosis of ARLC requires a detailed occupational history and exposure to asbestos. Multidisciplinary discussions between the pulmonologist, radiologist and occupational health physician are often needed. The risk of lung cancer is higher the greater the exposure to asbestos. The presence of asbestosis is an indicator of high asbestos exposure and increases the risk of ARLC in both smokers and nonsmokers. For workers exposed to asbestos who also smoke, the lung cancer risk is even greater than adding the risks from these exposures separately. Pleural plaques are indicators of exposure to asbestos fibres. Because pleural plaques may be associated with low levels of exposure to asbestos fibres, the attribution of lung cancer to asbestos must be supported by an occupational history of substantial asbestos exposure or measures of asbestos fibre burden, which form the basis for the Helsinki criteria.. A review found no difference in the cell type and location between ARLC and non-ARLC. A recent systematic review found occupational exposure to asbestos significantly increases the risk of small cell lung cancer in men. There is limited evidence to guide risk estimation and low dose CT screening in workers at high risk for lung cancer due to asbestos. CONCLUSIONS: Asbestos exposure and tobacco smoking interact synergistically in the causation of lung cancer. Physicians need to be familiar with the criteria for the diagnosis of ARLC and the medico-legal and compensation framework in their jurisdictions. REFERENCE #1: Takala J. Eliminating occupational cancer. Ind Health. 2015;53(4):307-309. doi:10.2486/indhealth.53-307 REFERENCE #2: Wolff H, Vehmas T, Oksa P, Rantanen J, Vainio H. Asbestos, asbestosis, and cancer, the Helsinki criteria for diagnosis and attribution 2014: recommendations. Scand J Work Environ Health. 2015;41(1):5-15. doi:10.5271/sjweh.3462 REFERENCE #3: Klebe S, Leigh J, Henderson DW, Nurminen M. Asbestos, Smoking and Lung Cancer: An Update. International Journal of Environmental Research and Public Health. 2020; 17(1):258. DISCLOSURES: No relevant relationships by Eugene Gan No relevant relationships by Jason Liew No relevant relationships by Keng Leong Tan",1931-3543 and 0012-3692,-1,embase,1003,,,,72
254,1409,"Steinmaus, Balmes",2000,Environmental health perspectives,10.1289/ehp.001081003,"Government laboratory worker with lung cancer: comparing risks from beryllium, asbestos, and tobacco smoke.",1003-6,108,10,"Occupational medicine physicians are frequently asked to establish cancer causation in patients with both workplace and non-workplace exposures. This is especially difficult in cases involving beryllium for which the data on human carcinogenicity are limited and controversial. In this report we present the case of a 73-year-old former technician at a government research facility who was recently diagnosed with lung cancer. The patient is a former smoker who has worked with both beryllium and asbestos. He was referred to the University of California, San Francisco, Occupational and Environmental Medicine Clinic at San Francisco General Hospital for an evaluation of whether past workplace exposures may have contributed to his current disease. The goal of this paper is to provide an example of the use of data-based risk estimates to determine causation in patients with multiple exposures. To do this, we review the current knowledge of lung cancer risks in former smokers and asbestos workers, and evaluate the controversies surrounding the epidemiologic data linking beryllium and cancer. Based on this information, we estimated that the patient's risk of lung cancer from asbestos was less than his risk from tobacco smoke, whereas his risk from beryllium was approximately equal to his risk from smoking. Based on these estimates, the patient's workplace was considered a probable contributing factor to his development of lung cancer.",0091-6765,-1,"pubmed, embase, openalex, openalex","1409, 1201, 1571, 1639",,,,73
384,1747,"Alexis Descatha, Selene Ollivier, Thomas Despreaux",2015,Scandinavian Journal of Work Environment & Health,10.5271/sjweh.3503,Re: Fitzgerald et al. “Eligibility for low-dose computerized tomography screening among asbestos-exposed individuals”,417-418,41,4,"There is still an ongoing debate about lung cancer screening with low-dose computed tomography (CT) (1–4). We read with particular interest Fitzgerald et al’s recent paper that detailed eligibility for lung cancer screening using this method (5). Some observations in France about the related question of asbestos might give further useful insight into complicated questions relevant to lung cancer screening and its financial consequences. In 2010–2011, the French National Authority for Health arbitrated a very broad debate between all interested parties (ie, patients, doctors, scientists, politicians and lobbyists, employers) concerning asbestos in the workplace (6). Chest CT was accepted as the standard imaging procedure (a former recommendation of X-rays was considered useless) to be carried out every 5 or 10 years, depending on the cumulative exposure at work – as assessed by an occupational health specialist – and at 20–30 years after the first year of exposure. This decision was based on the currently available medical evidence, but also on financial consequences, taking two aspects into consideration. First, all asbestos disorders diagnosed might be compensated, from cancer to asbestosis, this comprises all pleural disorders related to asbestos exposure, including plaques (based on the subsequent anxiety, and the higher probability of later cancer) (7); and a follow-up by a specialist is offered, taking into account the possibility of complications from “too much medicine” including aspecific pulmonary nodules) (8, 9). The second aspect was the asbestos companies’ funding of consequences, based on the attributable fraction of risk in exposed individuals and populations. Thus, we encourage consideration of the possibility of involving all stakeholders who might play a role in the etiology of lung cancer (directly or indirectly, asbestos and also tobacco companies), in order to decide who should assume the charges for all consequences of such screening. Acknowledgments We would like to thank Richard Carter for helping us to improve the language of this work. Conflict of interest Thomas Despreaux and Selene Ollivier have no relevant conflict of interest. Alexis Descatha has received fees from the National Health Insurance for work compensation for his expertise in the field (indemnity independent of any decisions he has made about accepting or refusing cases), and from Elsevier Masson as editor-in-chief of the journal Les Archives des Maladies Professionnelles et de l’Environnement. He is also an administrator for the Fond d’Indemnisation des Victimes de l’Amiante (Asbestos Victims Indemnisation Fund) as an unpaid expert.",0355-3140 1795-990X,-1,openalex,1747,,,,74
103,1377,"Piolatto, Pira, Putzu, Massiccio, Romano",2006,Giornale italiano di medicina del lavoro ed ergonomia,,[Asbestosis and microfiber role].,273-5,28,3,"Based on the predominant content of thin and short asbestos fibres in lung and mesothelioma tissues, it was recently stated (2005) that such fibres ""appear to contribute to the causation of human malignant mesothelioma"". In another study of the same year it was stated that fibres in the order of few microm length and 0.2 microm diameter are the sole able to induce mesothelioma. This scientific conclusions entail some implications from practical point of view. The enormous amount of information gained on asbestos in the last decades is based on the definition of a fibre as an alongated particle with an aspect-ratio of at least 3:1, a diameter < or = 3 microm and a length > or = 5 microm. These parameters were used up today to define occupational and in some case non-occupational limits. In which way can ""reference"" values be established if all lengths or only fibres shorter than 5 microm are considered? Nowadays we have no answer. Secondly, assuming a prevalent role of such fibres especially in mesothelioma cases, how can reliable estimates of past exposure obtained in a medico-legal context, since they have never been counted? Morever, how might he the employer responsibility assessed since short fibres were not measured by definition pathogenic, and this not measured, nor were there appropriate filtering systems up to the middle of the '80?",1592-7830,manual_review,pubmed,1377,,,,75
360,1481,"Kjuus, Langård, Skjaerven",1986,"Scandinavian journal of work, environment & health",10.5271/sjweh.2156,"A case-referent study of lung cancer, occupational exposures and smoking. III. Etiologic fraction of occupational exposures.",210-5,12,3,"The proportion of lung cancer related to occupational exposure to respiratory carcinogens and other workplace contaminants has been studied in a hospital-based case-referent study of 176 incident cases and 176 referents, recruited from the medical ward of two county hospitals in southern Norway. On the basis of job title and exposure information, three different approaches for the estimation of etiologic fraction were used, all based upon a trichotomous categorization of the exposure variable. Among the definitely exposed subjects, the etiologic fraction for lung cancer related to occupational exposure factors was from 22 to 35%, increasing to 37-47% when the ""possibly exposed"" categories were included. When asbestos was the only factor to be eliminated, the etiologic fraction estimate suggested a 23% reduction in the lung cancer incidence in the study population. More than 90% of the lung cancer cases would theoretically have been prevented if smoking had been completely removed. The relative merits of preventing one or several of the study factors simultaneously is discussed.",0355-3140,-1,"pubmed, embase, openalex","1481, 1272, 1500",,,,76
123,1110,"Sarkar, M. and Mahesh, D.M. and Madabhavi, I.",2012,Lung India,10.4103/0970-2113.102824,Digital clubbing,354-362,29,4,"Digital clubbing is an ancient and important clinical signs in medicine. Although clubbed fingers are mostly asymptomatic, it often predicts the presence of some dreaded underlying diseases. Its exact pathogenesis is not known, but platelet-derived growth factor and vascular endothelial growth factor are recently incriminated in its causation. The association of digital clubbing with various disease processes and its clinical implications are discussed in this review.",0970-2113 and 0974-598X,-1,embase,1110,,,,77
316,1475,"Lerchen, Wiggins, Samet",1987,Journal of the National Cancer Institute,,Lung cancer and occupation in New Mexico.,639-45,79,4,"The association between occupation and lung cancer risk was examined in a population-based, case-control study of 506 patients (333 males and 173 females) and 771 control (499 males and 272 females) subjects in New Mexico. A personal interview was used to obtain lifetime occupational and smoking histories and self-reported history of exposures to specific agents. High-risk jobs were identified in advance of data analysis and linked with industrial and occupational codes for hypothesis testing. For females, lung cancer risk was not associated with employment history, but power was limited. For males, elevated risks were found for the uranium mining industry [odds ratio (OR) = 1.9; 95% confidence internal (CI) = 0.8-4.9], underground miners (OR = 2.1; 95% CI = 1.1-3.7), painters (OR = 2.7; 95% CI = 0.8-8.9), and welders (OR = 3.2; 95% CI = 1.4-7.4). For self-reported exposure to any of 18 agents, only the OR for exposure to ""other metals"" was elevated. The population attributable risk in males was estimated as 14% for employment in any high-risk industry or occupation with an OR above 1 in this study.",0027-8874,title_duplicate,"pubmed, embase, openalex","1475, 1266, 1541",,,,78
258,1517,"Giulia Carreras, Alessandra Lugo, Silvano Gallus, Barbara Cortini, Esteve Fernández, Maria José López, Joan B. Soriano, Angel López-Nicolás, Sean Semple, Giuseppe Gorini, Yolanda Castellano, Marcela Fu, Montse Ballbè, Beladenta Amalia, Olena Tigova, Xavier Continente, Teresa Arechavala, Elisabet Henderson, Alessandra Lugo, Xiaoqiu Liu, Cristina Bosetti, Enrico Davoli, Paolo Colombo, Rachel O'Donnell, Ruaraidh Dobson, Luke Clancy, Sheila Keogan, Hannah Byrne, Panagiotis Behrakis, Anna Tzortzi, Constantine Vardavas, Vergina Konstantina Vyzikidou, Gerasimos Bakellas, George Mattiampa, Roberto Boffi, Ario Ruprecht, Cinzia De Marco, Alessandro Borgini, Chiara Veronese, Martina Bertoldi, Andrea Tittarelli, Simona Verdi, Elisabetta Chellini, Marta Trapero-Bertran, Daniel Celdrán Guerrero, Cornel Radu-Loghin, Dominick Nguyen, Polina Starchenko, Julio Ancochea, Tamara Alonso, María Teresa Pastor, Marta Erro, Ana Roca, Patricia Pérez",2019,Preventive Medicine,10.1016/j.ypmed.2019.105833,Burden of disease attributable to second-hand smoke exposure: A systematic review,105833-105833,129,,"Our aim was to provide a systematic review of studies on the burden of disease due to second-hand smoke (SHS) exposure, reviewing methods, exposure assessment, diseases causally linked to SHS, health outcomes, and estimates available to date. A literature review of studies on the burden of disease from SHS exposure, available in PubMed and SCOPUS, published 2007–2018 in English language, was carried out following the PRISMA recommendations. Overall, 588 studies were first identified, and 94 were eligible. Seventy-two studies were included in the systematic review. Most of them were based on the comparative risk assessment approach, assessing SHS exposure using mainly surveys on exposure at home/workplaces. Diseases more frequently studied were: lung cancer, ischemic heart disease, stroke, chronic obstructive pulmonary disease, asthma and breast cancer in adults; lower respiratory tract infection, otitis media, asthma, sudden infant death syndrome and low birth weight in children. The SHS exposure assessment and the reported population attributable fractions (PAF) were largely heterogeneous. As an example, the PAF from lung cancer varied between 0.6% and 20.5%. Moreover, PAF were estimated applying relative risks and SHS exposures with no consistent definitions or with different age classes. The research gap on the SHS exposure burden is shrinking. However, estimates are not yet available for a number of countries, particularly the Middle Eastern and African countries, and not all diseases with the strongest evidence of causation, such as sudden infant death syndrome, have been explored. Moreover, in some cases the applied methodology revealed relatively low quality of data.",0091-7435 1096-0260,-1,openalex,1517,,,,79
296,1100,"Mossman, B.T. and Glenn, R.E.",2013,Crit. Rev. Toxicol,10.3109/10408444.2013.818617,"Bioreactivity of the crystalline silica polymorphs, quartz and cristobalite, and implications for occupational exposure limits (OELs)",632-660,43,8,"Silica or silicon dioxides (SiO2) are naturally occurring substances that comprise the vast majority of the earth's crust. Because of their prevalence and commercial applications, they have been widely studied for their potential to induce pulmonary fibrosis and other disorders. Historically, the focus in the workplace has been on the development of inflammation and fibrotic lung disease, the basis for promulgating workplace standards to protect workers. Crystalline silica (CS) polymorphs, predominantly quartz and cristobalite, are used in industry but are different in their mineralogy, chemistry, surface features, size dimensions and association with other elements naturally and during industrial applications. Epidemiologic, clinical and experimental studies in the literature historically have predominantly focused on quartz polymorphs. Thus, in this review, we summarize past scientific evaluations and recent peer-reviewed literature with an emphasis on cristobalite, in an attempt to determine whether quartz and cristobalite polymorphs differ in their health effects, toxicity and other properties that may dictate the need for various standards of protection in the workplace. In addition to current epidemiological and clinical reports, we review in vivo studies in rodents as well as cell culture studies that shed light on mechanisms intrinsic to the toxicity, altered cell responses and protective or defense mechanisms in response to these minerals. The medical and scientific literature indicates that the mechanisms of injury and potential causation of inflammation and fibrotic lung disease are similar for quartz and cristobalite. Our analysis of these data suggests similar occupational exposure limits (OELs) for these minerals in the workplace. © 2013 Informa Healthcare USA, Inc.",1040-8444 and 1547-6898,-1,embase,1100,,,,80
